id,scn,liability_value,plan_cost,accrued_benefit_payment,projected_benefit_payment,AA_rated_bond_investment,public_equity_investment,total_asset_value,funding_ratio,funding_surplus,period
1.0,0.0,10000000.0,0.0,0.0,0.0,5000000.0,5000000.0,10000000.0,1.0,0.0,0.0
1.0,1.0,7890000.0,248000.0,410000.0,64000.0,4797732.0,5197543.0,9995275.0,1.2668282636248416,2105275.0,1.0
1.0,2.0,8330000.0,249000.0,57600.0,64000.0,4759600.3261887,5587356.9046563,10346957.230845,1.2421317203895559,2016957.2308450006,2.0
1.0,3.0,8980000.0,250000.0,57600.0,64000.0,4711663.504465222,5996662.642046647,10708326.14651187,1.1924639361371792,1728326.1465118695,3.0
1.0,4.0,9090000.0,251000.0,58600.0,65100.0,4653035.391380169,6425620.30238214,11078655.69376231,1.2187740037142254,1988655.6937623098,4.0
1.0,5.0,9350000.0,251000.0,58500.0,65000.0,4583341.138754152,6875011.7081312295,11458352.846885381,1.2254922830893455,2108352.8468853813,5.0
1.0,6.0,9110000.0,250000.0,58400.0,64900.0,4501547.31296755,7344629.826420743,11846177.139388293,1.300348752951514,2736177.139388293,6.0
1.0,7.0,8620000.0,255000.0,58300.0,64800.0,4409829.146613931,7839696.260646993,12249525.407260925,1.4210586319328218,3629525.4072609246,7.0
1.0,8.0,9880000.0,257000.0,59000.0,65500.0,4306137.834236104,8358973.442928914,12665111.277165018,1.2818938539640707,2785111.277165018,8.0
1.0,9.0,11600000.0,259000.0,58800.0,65400.0,4189755.4080124698,8903230.242026504,13092985.650038974,1.1287056594861185,1492985.6500389744,9.0
1.0,10.0,11300000.0,256000.0,58600.0,65200.0,4058859.4954602174,9470672.156073848,13529531.651534066,1.197303685976466,2229531.6515340656,10.0
1.0,11.0,12500000.0,254000.0,58500.0,65000.0,3913341.8621294023,10062879.074047044,13976220.936176445,1.1180976748941156,1476220.9361764453,11.0
1.0,12.0,10700000.0,249000.0,59800.0,66500.0,3751480.7387284813,10677291.333304152,14428772.072032634,1.348483371218003,3728772.072032634,12.0
1.0,13.0,11100000.0,257000.0,59600.0,66200.0,3576503.1278689234,11325593.238251604,14902096.366120528,1.3425312041550026,3802096.3661205284,13.0
1.0,14.0,12000000.0,265000.0,59300.0,65900.0,3387562.576734917,12010449.135696538,15398011.712431455,1.2831676427026213,3398011.712431455,14.0
1.0,15.0,13400000.0,238000.0,192000.0,81500.0,3149625.7205913295,12598502.882365333,15748128.602956662,1.1752334778325868,2348128.602956662,15.0
