id,scn,liability_value,plan_cost,accrued_benefit_payment,projected_benefit_payment,AA_rated_bond_investment,public_equity_investment,total_asset_value,funding_ratio,funding_surplus,period
1.0,0.0,10000000.0,0.0,0.0,0.0,5000000.0,5000000.0,10000000.0,1.0,0.0,0.0
1.0,1.0,7890000.0,248000.0,410000.0,64000.0,4997637.5,4997637.5,9995275.0,1.2668282636248416,2105275.0,1.0
1.0,2.0,8330000.0,249000.0,57600.0,64000.0,5172012.8083437495,5172012.8083437495,10344025.616687499,1.2417797859168667,2014025.616687499,2.0
1.0,3.0,8980000.0,250000.0,57600.0,64000.0,5349684.9401071835,5349684.9401071835,10699369.880214367,1.1914665790884595,1719369.880214367,3.0
1.0,4.0,9090000.0,251000.0,58600.0,65100.0,5530209.348975623,5530209.348975623,11060418.697951246,1.2167677335479918,1970418.697951246,4.0
1.0,5.0,9350000.0,251000.0,58500.0,65000.0,5713712.226979086,5713712.226979086,11427424.453958172,1.2221844335784142,2077424.4539581724,5.0
1.0,6.0,9110000.0,250000.0,58400.0,64900.0,5899431.7731511695,5899431.7731511695,11798863.546302339,1.2951551642483359,2688863.546302339,6.0
1.0,7.0,8620000.0,255000.0,58300.0,64800.0,6090948.5494286595,6090948.5494286595,12181897.098857319,1.4132131205170904,3561897.098857319,7.0
1.0,8.0,9880000.0,257000.0,59000.0,65500.0,6286505.311308477,6286505.311308477,12573010.622616954,1.2725719253660885,2693010.622616954,8.0
1.0,9.0,11600000.0,259000.0,58800.0,65400.0,6486010.676543542,6486010.676543542,12972021.353087084,1.118277702852335,1372021.3530870844,9.0
1.0,10.0,11300000.0,256000.0,58600.0,65200.0,6687546.375820139,6687546.375820139,13375092.751640279,1.18363652669383,2075092.7516402788,10.0
1.0,11.0,12500000.0,254000.0,58500.0,65000.0,6891695.238659438,6891695.238659438,13783390.477318875,1.10267123818551,1283390.4773188755,11.0
1.0,12.0,10700000.0,249000.0,59800.0,66500.0,7096079.9438112825,7096079.9438112825,14192159.887622565,1.32637008295538,3492159.887622565,12.0
1.0,13.0,11100000.0,257000.0,59600.0,66200.0,7308033.37971451,7308033.37971451,14616066.75942902,1.3167627711197316,3516066.759429021,13.0
1.0,14.0,12000000.0,265000.0,59300.0,65900.0,7528067.694958232,7528067.694958232,15056135.389916465,1.2546779491597053,3056135.3899164647,14.0
1.0,15.0,13400000.0,238000.0,192000.0,81500.0,7671968.462139262,7671968.462139262,15343936.924278524,1.1450699197222778,1943936.9242785238,15.0
1.0,16.0,11900000.0,241000.0,74200.0,82500.0,7878733.7150104605,7878733.7150104605,15757467.430020921,1.3241569268925144,3857467.430020921,16.0
1.0,17.0,12600000.0,240000.0,73900.0,82200.0,8088631.327822128,8088631.327822128,16177262.655644257,1.283909734574941,3577262.6556442566,17.0
1.0,18.0,12400000.0,240000.0,73600.0,81800.0,8302179.621669983,8302179.621669983,16604359.243339965,1.3390612293016102,4204359.243339965,18.0
1.0,19.0,12300000.0,240000.0,73300.0,81500.0,8519900.398846712,8519900.398846712,17039800.797693424,1.3853496583490588,4739800.797693424,19.0
1.0,20.0,10400000.0,237000.0,74600.0,82900.0,8739080.185806034,8739080.185806034,17478160.37161207,1.6805923434242374,7078160.371612068,20.0
1.0,21.0,9840000.0,240000.0,74300.0,82500.0,8986115.654796863,8986115.654796863,17972231.309593726,1.8264462713001755,8132231.309593726,21.0
1.0,22.0,9420000.0,239000.0,73900.0,82100.0,8696370.883218631,8696370.883218631,17392741.766437262,1.84636324484472,7972741.766437262,22.0
1.0,23.0,7440000.0,241000.0,73600.0,81700.0,8807355.746864729,8807355.746864729,17614711.493729457,2.367568749157185,10174711.493729457,23.0
1.0,24.0,7280000.0,246000.0,73900.0,82100.0,9084767.56885473,9084767.56885473,18169535.13770946,2.495815266168882,10889535.137709461,24.0
1.0,25.0,8260000.0,243000.0,73500.0,81700.0,8711531.723789843,8711531.723789843,17423063.447579686,2.109329715203352,9163063.447579686,25.0
1.0,26.0,8880000.0,242000.0,73100.0,81200.0,8756649.158056932,8756649.158056932,17513298.316113863,1.9722182788416514,8633298.316113863,26.0
1.0,27.0,8430000.0,246000.0,72700.0,80800.0,9359678.75890755,9359678.75890755,18719357.5178151,2.2205643556127046,10289357.517815098,27.0
1.0,28.0,8620000.0,250000.0,73700.0,81900.0,11030082.453100871,11030082.453100871,22060164.906201743,2.5591838638285083,13440164.906201743,28.0
1.0,29.0,10600000.0,255000.0,73300.0,81400.0,8377750.947014685,8377750.947014685,16755501.89402937,1.5807077258518274,6155501.89402937,29.0
1.0,30.0,11500000.0,256000.0,72800.0,80900.0,8712305.724478113,8712305.724478113,17424611.448956225,1.515183604257063,5924611.448956225,30.0
1.0,31.0,13400000.0,255000.0,72400.0,80400.0,9594574.18043917,9594574.18043917,19189148.36087834,1.4320259970804732,5789148.360878341,31.0
1.0,32.0,13700000.0,258000.0,72600.0,80700.0,10155345.481831895,10155345.481831895,20310690.96366379,1.4825321871287438,6610690.96366379,32.0
1.0,33.0,11000000.0,261000.0,72100.0,80100.0,11113456.83833429,11113456.83833429,22226913.67666858,2.02062851606078,11226913.67666858,33.0
1.0,34.0,9060000.0,258000.0,71600.0,79500.0,11165286.99525359,11165286.99525359,22330573.99050718,2.4647432660603954,13270573.990507182,34.0
1.0,35.0,9210000.0,261000.0,71100.0,79000.0,11834467.705419483,11834467.705419483,23668935.410838965,2.5699169827186714,14458935.410838965,35.0
1.0,36.0,10100000.0,258000.0,71100.0,79000.0,12731152.614755565,12731152.614755565,25462305.22951113,2.5210203197535774,15362305.22951113,36.0
1.0,37.0,11100000.0,263000.0,70600.0,78400.0,12646697.559152182,12646697.559152182,25293395.118304364,2.2786842448922853,14193395.118304364,37.0
1.0,38.0,12200000.0,264000.0,70000.0,77800.0,11997257.852467123,11997257.852467123,23994515.704934247,1.9667635823716596,11794515.704934247,38.0
1.0,39.0,13200000.0,265000.0,69500.0,77200.0,10985921.3502958,10985921.3502958,21971842.7005916,1.6645335379236061,8771842.700591601,39.0
1.0,40.0,14500000.0,263000.0,69900.0,77700.0,10066877.851067705,10066877.851067705,20133755.70213541,1.3885348760093386,5633755.70213541,40.0
