id,scn,liability_value,plan_cost,accrued_benefit_payment,projected_benefit_payment,AA_rated_bond_investment,public_equity_investment,total_asset_value,funding_ratio,funding_surplus,period
1.0,0.0,10000000.0,0.0,0.0,0.0,5000000.0,5000000.0,10000000.0,1.0,0.0,0.0
1.0,1.0,7890000.0,248000.0,410000.0,64000.0,6396976.0,3598299.0,9995275.0,1.2668282636248416,2105275.0,1.0
1.0,2.0,8330000.0,249000.0,57600.0,64000.0,7226453.022309502,3097051.2952754996,10323504.317585,1.2393162446080432,1993504.3175850008,2.0
1.0,3.0,8980000.0,250000.0,57600.0,64000.0,7454090.500761979,3194610.214612276,10648700.715374256,1.1858241331151733,1668700.7153742556,3.0
1.0,4.0,9090000.0,251000.0,58600.0,65100.0,1976157.9552357178,9002497.351629384,10978655.306865102,1.2077728610412652,1888655.3068651017,4.0
1.0,5.0,9350000.0,251000.0,58500.0,65000.0,4101673.626322355,7291864.224573077,11393537.85089543,1.2185601979567307,2043537.850895431,5.0
1.0,6.0,9110000.0,250000.0,58400.0,64900.0,4243167.216035735,7543408.384063529,11786575.600099264,1.2938063227331793,2676575.6000992637,6.0
1.0,7.0,8620000.0,255000.0,58300.0,64800.0,4389166.441837002,7802962.563265782,12192129.005102783,1.414400116601251,3572129.0051027834,7.0
1.0,8.0,9880000.0,257000.0,59000.0,65500.0,4790544.234593958,7816151.119600667,12606695.354194624,1.275981311153302,2726695.3541946243,8.0
1.0,9.0,11600000.0,259000.0,58800.0,65400.0,4689611.780775366,8337087.610267319,13026699.391042685,1.1229913268140246,1426699.3910426851,9.0
1.0,10.0,11300000.0,256000.0,58600.0,65200.0,5112921.873015124,8342135.687550992,13455057.560566116,1.1907130584571783,2155057.560566116,10.0
1.0,11.0,12500000.0,254000.0,58500.0,65000.0,5276706.412311632,8609363.09377161,13886069.506083243,1.1108855604866594,1386069.5060832426,11.0
1.0,12.0,10700000.0,249000.0,59800.0,66500.0,5441043.976607637,8877492.803938774,14318536.780546412,1.338181007527702,3618536.780546412,12.0
1.0,13.0,11100000.0,257000.0,59600.0,66200.0,5611500.593627696,9155606.231708346,14767106.825336043,1.3303699842645083,3667106.825336043,13.0
1.0,14.0,12000000.0,265000.0,59300.0,65900.0,5788555.823988959,9444485.81808725,15233041.64207621,1.269420136839684,3233041.642076209,14.0
1.0,15.0,13400000.0,238000.0,192000.0,81500.0,5908155.210413443,9639621.659095617,15547776.86950906,1.160281855933512,2147776.86950906,15.0
1.0,16.0,11900000.0,241000.0,74200.0,82500.0,6075858.3253326705,9913242.530805936,15989100.856138606,1.3436219206839164,4089100.8561386056,16.0
1.0,17.0,12600000.0,240000.0,73900.0,82200.0,6246348.89365795,10191411.352810338,16437760.246468287,1.3045841465451022,3837760.246468287,17.0
1.0,18.0,12400000.0,240000.0,73600.0,81800.0,6420037.579684061,10474798.156326625,16894835.736010686,1.3624867529040876,4494835.736010686,18.0
1.0,19.0,12300000.0,240000.0,73300.0,81500.0,6597407.299121798,10764190.85646188,17361598.15558368,1.4115120451694048,5061598.15558368,19.0
1.0,20.0,10400000.0,237000.0,74600.0,82900.0,6776343.351494053,11056139.152437666,17832482.50393172,1.7146617792242038,7432482.50393172,20.0
1.0,21.0,9840000.0,240000.0,74300.0,82500.0,6997174.434382135,11416442.49820243,18413616.932584565,1.8713025337992444,8573616.932584565,21.0
1.0,22.0,9420000.0,239000.0,73900.0,82100.0,6785099.807906663,11070426.002374029,17855525.81028069,1.895491062662494,8435525.810280692,22.0
1.0,23.0,7440000.0,241000.0,73600.0,81700.0,6937803.560934382,11319574.230998201,18257377.791932583,2.453948627947928,10817377.791932583,23.0
1.0,24.0,7280000.0,246000.0,73900.0,82100.0,374034.2345290063,18327677.491921302,18701711.72645031,2.5689164459409763,11421711.72645031,24.0
1.0,25.0,8260000.0,243000.0,73500.0,81700.0,7388830.7365264045,10203623.398060273,17592454.134586677,2.129837062298629,9332454.134586677,25.0
1.0,26.0,8880000.0,242000.0,73100.0,81200.0,355083.3171565458,17399082.54067074,17754165.857827287,1.9993430020075773,8874165.857827287,26.0
1.0,27.0,8430000.0,246000.0,72700.0,80800.0,2054298.8267003377,18488689.44030304,20542988.267003376,2.4368906603799974,12112988.267003376,27.0
1.0,28.0,8620000.0,250000.0,73700.0,81900.0,7593102.631041832,19525121.051250424,27118223.682292257,3.1459656243958536,18498223.682292257,28.0
1.0,29.0,10600000.0,255000.0,73300.0,81400.0,337253.23502903245,16525408.516422583,16862661.751451615,1.59081714636336,6262661.751451615,29.0
1.0,30.0,11500000.0,256000.0,72800.0,80900.0,3146371.0585716553,14333468.15571532,17479839.214286976,1.51998601863365,5979839.214286976,30.0
1.0,31.0,13400000.0,255000.0,72400.0,80400.0,12445889.626883155,7000812.915121775,19446702.542004928,1.4512464583585767,6046702.542004928,31.0
1.0,32.0,13700000.0,258000.0,72600.0,80700.0,13052135.755617632,7341826.362534917,20393962.118152548,1.4886103735877771,6693962.118152548,32.0
1.0,33.0,11000000.0,261000.0,72100.0,80100.0,13903502.364462227,7820720.080010002,21724222.444472227,1.9749293131338388,10724222.444472227,33.0
1.0,34.0,9060000.0,258000.0,71600.0,79500.0,14162197.6598688,7966236.183676199,22128433.843544997,2.442431991561258,13068433.843544997,34.0
1.0,35.0,9210000.0,261000.0,71100.0,79000.0,14978310.146778466,8425299.457562888,23403609.604341354,2.541108534673328,14193609.604341354,35.0
1.0,36.0,10100000.0,258000.0,71100.0,79000.0,16177020.527330944,9099574.046623657,25276594.5739546,2.502633126134119,15176594.5739546,36.0
1.0,37.0,11100000.0,263000.0,70600.0,78400.0,15880181.662016802,8932602.184884451,24812783.846901253,2.235385932153266,13712783.846901253,37.0
1.0,38.0,12200000.0,264000.0,70000.0,77800.0,14937673.035815466,8402441.082646199,23340114.118461665,1.9131241080706283,11140114.118461665,38.0
1.0,39.0,13200000.0,265000.0,69500.0,77200.0,13901275.43096574,7819467.429918229,21720742.86088397,1.64551082279424,8520742.86088397,39.0
1.0,40.0,14500000.0,263000.0,69900.0,77700.0,12943929.616514878,7280960.409289619,20224890.025804497,1.3948200017796204,5724890.025804497,40.0
