id,scn,liability_value,plan_cost,accrued_benefit_payment,projected_benefit_payment,AA_rated_bond_investment,public_equity_investment,total_asset_value,funding_ratio,funding_surplus,period
1.0,0.0,10000000.0,0.0,0.0,0.0,5000000.0,5000000.0,10000000.0,1.0,0.0,0.0
1.0,1.0,7890000.0,248000.0,410000.0,64000.0,5197543.0,4797732.0,9995275.0,1.2668282636248416,2105275.0,1.0
1.0,2.0,8330000.0,249000.0,57600.0,64000.0,5584190.761366201,4756903.2411638005,10341094.002530001,1.2414278514441779,2011094.002530001,2.0
1.0,3.0,8980000.0,250000.0,57600.0,64000.0,5986633.520946508,4703783.480743684,10690417.001690192,1.1904695992973489,1710417.0016901921,3.0
1.0,4.0,9090000.0,251000.0,58600.0,65100.0,6404476.248685668,4637724.180082724,11042200.428768393,1.2147635235168748,1952200.4287683927,4.0
1.0,5.0,9350000.0,251000.0,58500.0,65000.0,6837933.539059943,4558622.359373294,11396555.898433236,1.2188829837896509,2046555.8984332364,5.0
1.0,6.0,9110000.0,250000.0,58400.0,64900.0,7286051.814856969,4465644.660718786,11751696.475575754,1.2899776592289522,2641696.4755757544,6.0
1.0,7.0,8620000.0,255000.0,58300.0,64800.0,7753327.161553876,4361246.528374053,12114573.689927928,1.4054029802700612,3494573.689927928,7.0
1.0,8.0,9880000.0,257000.0,59000.0,65500.0,8237775.149490245,4243702.349737396,12481477.499227641,1.2633074391930812,2601477.499227641,8.0
1.0,9.0,11600000.0,259000.0,58800.0,65400.0,8739381.04251558,4112649.90236027,12852030.94487585,1.1079337021444697,1252030.9448758494,9.0
1.0,10.0,11300000.0,256000.0,58600.0,65200.0,9255556.751366464,3966667.1791570527,13222223.930523517,1.1701083124357095,1922223.9305235166,10.0
1.0,11.0,12500000.0,254000.0,58500.0,65000.0,9786939.32627905,3806031.960219627,13592971.286498677,1.087437702919894,1092971.286498677,11.0
1.0,12.0,10700000.0,249000.0,59800.0,66500.0,10329744.147123676,3629369.5652056118,13959113.712329287,1.3045900665728305,3259113.712329287,12.0
1.0,13.0,11100000.0,257000.0,59600.0,66200.0,10894710.730999254,3440434.967683971,14335145.698683225,1.291454567448939,3235145.6986832246,13.0
1.0,14.0,12000000.0,265000.0,59300.0,65900.0,11482691.786114082,3238707.939673199,14721399.72578728,1.2267833104822734,2721399.72578728,14.0
