id,scn,liability_value,plan_cost,accrued_benefit_payment,projected_benefit_payment,AA_rated_bond_investment,public_equity_investment,total_asset_value,funding_ratio,funding_surplus,period
1.0,0.0,10000000.0,0.0,0.0,0.0,5000000.0,5000000.0,10000000.0,1.0,0.0,0.0
1.0,1.0,7890000.0,248000.0,410000.0,64000.0,1199433.0,8795842.0,9995275.0,1.2668282636248416,2105275.0,1.0
1.0,2.0,8330000.0,249000.0,57600.0,64000.0,1247967.1542816,9151759.1313984,10399726.28568,1.2484665408979592,2069726.2856799997,2.0
1.0,3.0,8980000.0,250000.0,57600.0,64000.0,1297563.973385988,9515469.138163913,10813033.1115499,1.204123954515579,1833033.1115499008,3.0
1.0,4.0,9090000.0,251000.0,58600.0,65100.0,1348118.8075746226,9886204.588880567,11234323.39645519,1.2358991635264234,2144323.396455189,4.0
1.0,5.0,9350000.0,251000.0,58500.0,65000.0,1399658.1826916938,10264160.006405756,11663818.18909745,1.2474671859997273,2313818.189097449,5.0
1.0,6.0,9110000.0,250000.0,58400.0,64900.0,1452057.0011100462,10648418.008140339,12100475.009250384,1.3282628989297898,2990475.009250384,6.0
1.0,7.0,8620000.0,255000.0,58300.0,64800.0,1506187.885855783,11045377.829609076,12551565.715464858,1.456098110842791,3931565.7154648583,7.0
1.0,8.0,9880000.0,257000.0,59000.0,65500.0,1561634.4641232626,11451986.07023726,13013620.534360522,1.317168070279405,3133620.5343605224,8.0
1.0,9.0,11600000.0,259000.0,58800.0,65400.0,1618377.8294155733,11868104.082380872,13486481.911796445,1.162627751016935,1886481.911796445,9.0
1.0,10.0,11300000.0,256000.0,58600.0,65200.0,1675959.8399725896,12290372.159798991,13966331.99977158,1.2359585840505822,2666331.99977158,10.0
1.0,11.0,12500000.0,254000.0,58500.0,65000.0,1734541.9247629913,12719974.114928603,14454516.039691593,1.1563612831753274,1954516.0396915935,11.0
1.0,12.0,10700000.0,249000.0,59800.0,66500.0,1793604.004956333,13153096.036346443,14946700.041302776,1.3968878543273622,4246700.041302776,12.0
1.0,13.0,11100000.0,257000.0,59600.0,66200.0,1854901.0111738592,13602607.415274968,15457508.426448828,1.3925683267071016,4357508.426448828,13.0
1.0,14.0,12000000.0,265000.0,59300.0,65900.0,1918653.6782316074,14070126.973698454,15988780.651930062,1.3323983876608385,3988780.651930062,14.0
1.0,15.0,13400000.0,238000.0,192000.0,81500.0,1964596.6413860621,14407042.036831124,16371638.678217186,1.2217640804639691,2971638.6782171857,15.0
1.0,16.0,11900000.0,241000.0,74200.0,82500.0,2026012.979329319,14857428.515081672,16883441.49441099,1.4187765961689909,4983441.494410992,16.0
1.0,17.0,12600000.0,240000.0,73900.0,82200.0,2088649.280907622,15316761.393322563,17405410.674230184,1.381381799542078,4805410.674230184,17.0
1.0,18.0,12400000.0,240000.0,73600.0,81800.0,2152649.349588004,15786095.230312029,17938744.579900034,1.4466729499919382,5538744.579900034,18.0
