id,scn,liability_value,plan_cost,accrued_benefit_payment,projected_benefit_payment,AA_rated_bond_investment,public_equity_investment,total_asset_value,funding_ratio,funding_surplus,period
1.0,0.0,10000000.0,0.0,0.0,0.0,5000000.0,5000000.0,10000000.0,1.0,0.0,0.0
1.0,1.0,7890000.0,248000.0,410000.0,64000.0,0.0,9995275.0,9995275.0,1.2668282636248416,2105275.0,1.0
1.0,2.0,8330000.0,249000.0,57600.0,64000.0,0.0,10417315.970625,10417315.970625,1.2505781477340936,2087315.970625,2.0
1.0,3.0,8980000.0,250000.0,57600.0,64000.0,0.0,10849053.80505011,10849053.80505011,1.208135167600235,1869053.8050501104,3.0
1.0,4.0,9090000.0,251000.0,58600.0,65100.0,0.0,11289625.910840632,11289625.910840632,1.2419830484973193,2199625.9108406324,4.0
1.0,5.0,9350000.0,251000.0,58500.0,65000.0,0.0,11739247.140960027,11739247.140960027,1.2555344535786124,2389247.1409600265,5.0
1.0,6.0,9110000.0,250000.0,58400.0,64900.0,0.0,12197034.569881296,12197034.569881296,1.338862192083567,3087034.569881296,6.0
1.0,7.0,8620000.0,255000.0,58300.0,64800.0,0.0,12670302.328753354,12670302.328753354,1.4698726599481848,4050302.328753354,7.0
1.0,8.0,9880000.0,257000.0,59000.0,65500.0,0.0,13155601.434057837,13155601.434057837,1.331538606686016,3275601.4340578374,8.0
1.0,9.0,11600000.0,259000.0,58800.0,65400.0,0.0,13652789.136431694,13652789.136431694,1.1769645807268703,2052789.136431694,9.0
1.0,10.0,11300000.0,256000.0,58600.0,65200.0,0.0,14158059.531458229,14158059.531458229,1.2529256222529406,2858059.531458229,10.0
1.0,11.0,12500000.0,254000.0,58500.0,65000.0,0.0,14672823.773892611,14672823.773892611,1.173825901911409,2172823.7738926113,11.0
1.0,12.0,10700000.0,249000.0,59800.0,66500.0,15192895.94999389,0.0,15192895.94999389,1.4198968177564384,4492895.94999389,12.0
1.0,13.0,11100000.0,257000.0,59600.0,66200.0,0.0,15532653.385045333,15532653.385045333,1.3993381427968767,4432653.385045333,13.0
1.0,14.0,12000000.0,265000.0,59300.0,65900.0,16090167.98421661,0.0,16090167.98421661,1.3408473320180507,4090167.98421661,14.0
1.0,15.0,13400000.0,238000.0,192000.0,81500.0,16288541.87502714,0.0,16288541.87502714,1.2155628264945628,2888541.8750271406,15.0
1.0,16.0,11900000.0,241000.0,74200.0,82500.0,16610245.908258649,0.0,16610245.908258649,1.3958189838872814,4710245.908258649,16.0
1.0,17.0,12600000.0,240000.0,73900.0,82200.0,16934973.75668252,0.0,16934973.75668252,1.3440455362446444,4334973.756682519,17.0
1.0,18.0,12400000.0,240000.0,73600.0,81800.0,17263610.80527154,0.0,17263610.80527154,1.392226677844479,4863610.80527154,18.0
