id,scn,liability_value,plan_cost,accrued_benefit_payment,projected_benefit_payment,AA_rated_bond_investment,public_equity_investment,total_asset_value,funding_ratio,funding_surplus,period
1.0,0.0,10000000.0,0.0,0.0,0.0,5000000.0,5000000.0,10000000.0,1.0,0.0,0.0
1.0,1.0,7890000.0,248000.0,410000.0,64000.0,4797732.0,5197543.0,9995275.0,1.2668282636248416,2105275.0,1.0
1.0,2.0,8330000.0,249000.0,57600.0,64000.0,5173478.6154225,5173478.6154225,10346957.230845,1.2421317203895559,2016957.2308450006,2.0
1.0,3.0,8980000.0,250000.0,57600.0,64000.0,5137126.883819466,5565220.7908044215,10702347.674623888,1.1917981820293861,1722347.674623888,3.0
1.0,4.0,9090000.0,251000.0,58600.0,65100.0,5090584.593968946,5975903.653789633,11066488.247758579,1.2174354507985234,1976488.2477585785,4.0
1.0,5.0,9350000.0,251000.0,58500.0,65000.0,5262301.001655994,6177483.78455269,11439784.786208684,1.223506394246918,2089784.7862086836,5.0
1.0,6.0,9110000.0,250000.0,58400.0,64900.0,5672528.390322234,6145239.089515754,11817767.479837988,1.2972302392796913,2707767.4798379876,6.0
1.0,7.0,8620000.0,255000.0,58300.0,64800.0,6102176.502075264,6102176.502075264,12204353.004150528,1.4158182139385764,3584353.0041505285,7.0
1.0,8.0,9880000.0,257000.0,59000.0,65500.0,6549827.705277389,6045994.804871436,12595822.510148825,1.2748808208652658,2715822.510148825,8.0
1.0,9.0,11600000.0,259000.0,58800.0,65400.0,7015564.863144843,5976221.920456717,12991786.78360156,1.1199816192759966,1391786.7836015597,9.0
1.0,10.0,11300000.0,256000.0,58600.0,65200.0,7229635.107509305,6158578.054544962,13388213.162054267,1.1847976249605545,2088213.1620542668,10.0
1.0,11.0,12500000.0,254000.0,58500.0,65000.0,7722180.376193287,6067427.438437581,13789607.814630868,1.1031686251704695,1289607.814630868,11.0
1.0,12.0,10700000.0,249000.0,59800.0,66500.0,8228762.645548598,5958759.157121397,14187521.802669995,1.3259366170719622,3487521.8026699945,12.0
1.0,13.0,11100000.0,257000.0,59600.0,66200.0,8757837.196591126,5838558.131060748,14596395.327651873,1.3149905700587272,3496395.327651873,13.0
1.0,14.0,12000000.0,265000.0,59300.0,65900.0,9310439.24734162,5706398.248370668,15016837.495712288,1.2514031246426907,3016837.4957122877,14.0
1.0,15.0,13400000.0,238000.0,192000.0,81500.0,9779364.656454535,5500892.619255673,15280257.275710208,1.1403177071425528,1880257.2757102083,15.0
