id,scn,liability_value,plan_cost,accrued_benefit_payment,projected_benefit_payment,AA_rated_bond_investment,public_equity_investment,total_asset_value,funding_ratio,funding_surplus,period
1.0,0.0,10000000.0,0.0,0.0,0.0,5000000.0,5000000.0,10000000.0,1.0,0.0,0.0
1.0,1.0,7890000.0,248000.0,410000.0,64000.0,4597826.5,5397448.5,9995275.0,1.2668282636248416,2105275.0,1.0
1.0,2.0,8330000.0,249000.0,57600.0,64000.0,4346953.31490105,6002935.530101451,10349888.845002502,1.242483654862245,2019888.8450025022,2.0
1.0,3.0,8980000.0,250000.0,57600.0,64000.0,3536704.314192288,7180581.486390402,10717285.80058269,1.1934616704435066,1737285.8005826902,3.0
1.0,4.0,9090000.0,251000.0,58600.0,65100.0,3442405.569264507,7662128.525137127,11104534.094401635,1.2216209124754274,2014534.0944016352,4.0
1.0,5.0,9350000.0,251000.0,58500.0,65000.0,4255652.455210118,7246110.9372496605,11501763.392459778,1.2301351221882115,2151763.392459778,5.0
1.0,6.0,9110000.0,250000.0,58400.0,64900.0,5114901.04081414,6780217.658753627,11895118.699567767,1.3057210427626529,2785118.699567767,6.0
1.0,7.0,8620000.0,255000.0,58300.0,64800.0,6022655.612594293,6268478.290659366,12291133.90325366,1.4258856036257146,3671133.9032536596,7.0
1.0,8.0,9880000.0,257000.0,59000.0,65500.0,6850254.363485087,5835401.865191,12685656.228676086,1.2839733024975797,2805656.2286760863,8.0
1.0,9.0,11600000.0,259000.0,58800.0,65400.0,7716955.284385666,5362629.943386649,13079585.227772314,1.1275504506700271,1479585.227772314,9.0
1.0,10.0,11300000.0,256000.0,58600.0,65200.0,9158647.893512448,4309951.949888211,13468599.843400659,1.19191149056643,2168599.843400659,10.0
1.0,11.0,12500000.0,254000.0,58500.0,65000.0,9138485.35105671,4707704.574786791,13846189.9258435,1.10769519406748,1346189.9258434996,11.0
1.0,12.0,10700000.0,249000.0,59800.0,66500.0,10669970.97196746,3556656.9906558217,14226627.962623283,1.3295913983760077,3526627.9626232833,12.0
1.0,13.0,11100000.0,257000.0,59600.0,66200.0,10222945.744038934,4381262.461730973,14604208.205769908,1.315694432952244,3504208.2057699077,13.0
1.0,14.0,12000000.0,265000.0,59300.0,65900.0,11854300.720055198,3151143.2293817634,15005443.949436963,1.2504536624530802,3005443.9494369626,14.0
1.0,15.0,13400000.0,238000.0,192000.0,81500.0,13406868.262833215,1828209.3085681675,15235077.571401384,1.1369460874180137,1835077.5714013837,15.0
1.0,16.0,11900000.0,241000.0,74200.0,82500.0,14792246.537948994,778539.2914710015,15570785.829419995,1.3084693974302517,3670785.8294199947,16.0
1.0,17.0,12600000.0,240000.0,73900.0,82200.0,14306207.128928304,1589578.5698809244,15895785.698809229,1.261570293556288,3295785.698809229,17.0
1.0,18.0,12400000.0,240000.0,73600.0,81800.0,16072890.686535038,162352.43117712322,16235243.11771216,1.3092937998154968,3835243.1177121606,18.0
1.0,19.0,12300000.0,240000.0,73300.0,81500.0,15566642.373290349,993615.4706355562,16560257.843925904,1.3463624263354395,4260257.8439259045,19.0
1.0,20.0,10400000.0,237000.0,74600.0,82900.0,16388465.27751054,506859.7508508434,16895325.028361384,1.624550483496287,6495325.028361384,20.0
1.0,21.0,9840000.0,240000.0,74300.0,82500.0,15713664.660819635,1366405.6226799705,17080070.283499606,1.735779500355651,7240070.283499606,21.0
1.0,22.0,9420000.0,239000.0,73900.0,82100.0,16244617.539636802,164087.0458549189,16408704.58549172,1.7419006990967856,6988704.585491721,22.0
1.0,23.0,7440000.0,241000.0,73600.0,81700.0,15958033.807693858,0.0,15958033.807693858,2.144897017163153,8518033.807693858,23.0
1.0,24.0,7280000.0,246000.0,73900.0,82100.0,16083604.540349873,846505.5021236776,16930110.04247355,2.3255645662738393,9650110.04247355,24.0
1.0,25.0,8260000.0,243000.0,73500.0,81700.0,14878120.577139141,1653124.508571016,16531245.085710157,2.0013613905218106,8271245.085710157,25.0
1.0,26.0,8880000.0,242000.0,73100.0,81200.0,13191730.461939182,3094356.5281091915,16286086.990048373,1.8340188051856277,7406086.990048373,26.0
1.0,27.0,8430000.0,246000.0,72700.0,80800.0,11708266.513872018,4782249.702849135,16490516.216721153,1.9561703697178117,8060516.216721153,27.0
1.0,28.0,8620000.0,250000.0,73700.0,81900.0,11297243.62777225,6924117.062182992,18221360.689955242,2.1138469477906314,9601360.689955242,28.0
1.0,29.0,10600000.0,255000.0,73300.0,81400.0,8069192.207959021,7155698.750454226,15224890.958413247,1.4363104677748346,4624890.958413247,29.0
1.0,30.0,11500000.0,256000.0,72800.0,80900.0,6975196.21654361,8877522.457419138,15852718.67396275,1.3784972759967609,4352718.67396275,30.0
