sim,period,reward,saa,funding_ratio
1,1,0.19438529784537395,"[0.48, 0.52]",1.194385297845374
1,2,-0.03467797118270899,"[0.45999999999999996, 0.54]",1.159707326662665
1,3,-0.04158847671570953,"[0.43999999999999995, 0.56]",1.1181188499469554
1,4,-0.05052988306388517,"[0.43999999999999995, 0.56]",1.0675889668830703
1,5,-0.010588327581680046,"[0.43999999999999995, 0.56]",1.0570006393013902
1,6,0.12483221515437837,"[0.43999999999999995, 0.56]",1.1818328544557686
1,7,0.32783195467973525,"[0.43999999999999995, 0.56]",1.5096648091355038
1,8,-0.5489779733870359,"[0.41999999999999993, 0.5800000000000001]",0.9606868357484679
1,9,-0.10190420586711602,"[0.3999999999999999, 0.6000000000000001]",0.8587826298813519
1,10,0.12341498763863878,"[0.3799999999999999, 0.6200000000000001]",0.9821976175199907
1,11,-0.02802200156943635,"[0.3599999999999999, 0.6400000000000001]",0.9541756159505543
1,12,0.3054112247218075,"[0.33999999999999986, 0.6600000000000001]",1.2595868406723618
1,13,-0.051205002810928324,"[0.33999999999999986, 0.6600000000000001]",1.2083818378614335
1,14,-0.012953481771279085,"[0.31999999999999984, 0.6800000000000002]",1.1954283560901544
1,15,-0.05454429754776391,"[0.2999999999999998, 0.7000000000000002]",1.1408840585423905
1,16,0.16119932541337811,"[0.2799999999999998, 0.7200000000000002]",1.3020833839557686
1,17,-0.1159937674229139,"[0.2599999999999998, 0.7400000000000002]",1.1860896165328547
1,18,-0.10921225270561985,"[0.2399999999999998, 0.7600000000000002]",1.0768773638272349
1,19,-0.14432795217004413,"[0.2199999999999998, 0.7800000000000002]",0.9325494116571907
1,20,0.09212768335023969,"[0.19999999999999982, 0.8000000000000003]",1.0246770950074304
1,21,0.1118028385480383,"[0.17999999999999983, 0.8200000000000003]",1.1364799335554687
1,22,0.23516850971064307,"[0.15999999999999984, 0.8400000000000003]",1.3716484432661118
1,23,0.3762362599099518,"[0.13999999999999985, 0.8600000000000003]",1.7478847031760636
1,24,0.04533056962727988,"[0.11999999999999984, 0.8800000000000003]",1.7932152728033435
1,25,-0.3607583210159009,"[0.09999999999999984, 0.9000000000000004]",1.4324569517874426
1,26,-0.0864832814330947,"[0.07999999999999984, 0.9200000000000004]",1.345973670354348
1,27,0.09192715326181156,"[0.05999999999999983, 0.9400000000000004]",1.4379008236161595
1,28,0.08533334461300468,"[0.03999999999999983, 0.9600000000000004]",1.5232341682291641
1,29,-0.1254854918569941,"[0.019999999999999827, 0.9800000000000004]",1.39774867637217
1,30,-0.13572181317098342,"[0.0, 1.0]",1.2620268632011866
1,31,-0.12475579259500624,"[0.0, 1.0]",1.1372710706061804
1,32,0.09580569236256031,"[0.0, 1.0]",1.2330767629687407
1,33,0.2615940439625475,"[0.0, 1.0]",1.4946708069312882
1,34,0.38644659846267815,"[0.0, 1.0]",1.8811174053939663
1,35,-0.09551038929637978,"[0.0, 1.0]",1.7856070160975865
1,36,-0.11221854358597239,"[0.0, 1.0]",1.6733884725116142
1,37,-0.14594603931480488,"[0.0, 1.0]",1.5274424331968093
1,38,-0.04990045547765676,"[0.0, 1.0]",1.4775419777191525
1,39,0.061524998581168555,"[0.0, 1.0]",1.539066976300321
1,40,-0.10112990182938364,"[0.0, 1.0]",1.4379370744709374
