sim,period,reward,saa,funding_ratio
1,1,0.19438529784537395,"[0.48, 0.52]",1.194385297845374
1,2,-0.03467797118270899,"[0.45999999999999996, 0.54]",1.159707326662665
1,3,-0.04158847671570953,"[0.43999999999999995, 0.56]",1.1181188499469554
1,4,-0.05052988306388517,"[0.41999999999999993, 0.5800000000000001]",1.0675889668830703
1,5,-0.009522817387495497,"[0.3999999999999999, 0.6000000000000001]",1.0580661494955748
1,6,0.13293197997403317,"[0.3799999999999999, 0.6200000000000001]",1.190998129469608
1,7,0.35709075317658767,"[0.3599999999999999, 0.6400000000000001]",1.5480888826461956
1,8,-0.6303453732765438,"[0.33999999999999986, 0.6600000000000001]",0.9177435093696518
1,9,-0.09700277539660052,"[0.31999999999999984, 0.6800000000000002]",0.8207407339730513
1,10,0.12109947037458602,"[0.2999999999999998, 0.7000000000000002]",0.9418402043476373
1,11,-0.02155332241273966,"[0.2799999999999998, 0.7200000000000002]",0.9202868819348976
1,12,0.31305691855964046,"[0.2599999999999998, 0.7400000000000002]",1.233343800494538
1,13,-0.05910811211687861,"[0.2399999999999998, 0.7600000000000002]",1.1742356883776595
1,14,-0.010252230358135384,"[0.2199999999999998, 0.7800000000000002]",1.163983458019524
1,15,-0.05612500111467589,"[0.19999999999999982, 0.8000000000000003]",1.1078584569048482
1,16,0.167427795144371,"[0.17999999999999983, 0.8200000000000003]",1.2752862520492192
1,17,-0.10632607242541847,"[0.15999999999999984, 0.8400000000000003]",1.1689601796238007
1,18,-0.11990257481724353,"[0.13999999999999985, 0.8600000000000003]",1.0490576048065572
1,19,-0.15840806296893506,"[0.11999999999999984, 0.8800000000000003]",0.8906495418376221
1,20,0.07056681707068901,"[0.09999999999999984, 0.9000000000000004]",0.9612163589083111
1,21,0.10356459076927571,"[0.07999999999999984, 0.9200000000000004]",1.0647809496775869
1,22,0.23463134367028027,"[0.05999999999999983, 0.9400000000000004]",1.2994122933478671
1,23,0.3574336110618628,"[0.03999999999999983, 0.9600000000000004]",1.65684590440973
1,24,0.06004211411870264,"[0.019999999999999827, 0.9800000000000004]",1.7168880185284325
1,25,-0.3555567553935901,"[0.0, 1.0]",1.3613312631348424
1,26,-0.08957686518490826,"[0.0, 1.0]",1.2717543979499342
1,27,0.085544453905813,"[0.0, 1.0]",1.3572988518557472
1,28,0.07764459307975402,"[0.0, 1.0]",1.4349434449355012
1,29,-0.11182897375845924,"[0.0, 1.0]",1.323114471177042
1,30,-0.1280157906740329,"[0.0, 1.0]",1.195098680503009
1,31,-0.11741704244254358,"[0.0, 1.0]",1.0776816380604655
1,32,0.09149485362520782,"[0.0, 1.0]",1.1691764916856733
1,33,0.24892768862045123,"[0.0, 1.0]",1.4181041803061245
1,34,0.3677042545114688,"[0.0, 1.0]",1.7858084348175933
1,35,-0.0896265660587523,"[0.0, 1.0]",1.696181868758841
1,36,-0.10567176839219039,"[0.0, 1.0]",1.5905101003666506
1,37,-0.1378592568179604,"[0.0, 1.0]",1.4526508435486902
1,38,-0.04667843992607401,"[0.0, 1.0]",1.4059724036226162
1,39,0.059262234323170127,"[0.0, 1.0]",1.4652346379457863
1,40,-0.095639627311632,"[0.0, 1.0]",1.3695950106341543
