sim,period,reward,saa,funding_ratio
1,1,0.19438529784537395,"[0.48, 0.52]",1.194385297845374
1,2,-0.03467797118270899,"[0.48, 0.52]",1.159707326662665
1,3,-0.040366301069436616,"[0.48, 0.52]",1.1193410255932283
1,4,-0.0489528753118178,"[0.48, 0.52]",1.0703881502814105
1,5,-0.012806679365374496,"[0.48, 0.52]",1.057581470916036
1,6,0.11689778805307016,"[0.48, 0.52]",1.1744792589691062
1,7,0.3082538534334145,"[0.48, 0.52]",1.4827331124025207
1,8,-0.506796439810418,"[0.48, 0.52]",0.9759366725921027
1,9,-0.10345664207030647,"[0.48, 0.52]",0.8724800305217962
1,10,0.12257729806848627,"[0.48, 0.52]",0.9950573285902825
1,11,-0.034767146076759126,"[0.48, 0.52]",0.9602901825135234
1,12,0.27929311019860725,"[0.48, 0.52]",1.2395832927121306
1,13,-0.03368088023917615,"[0.48, 0.52]",1.2059024124729545
1,14,-0.015552771599324222,"[0.48, 0.52]",1.1903496408736303
1,15,-0.04921622219646982,"[0.48, 0.52]",1.1411334186771604
1,16,0.1417841877655217,"[0.48, 0.52]",1.2829176064426822
1,17,-0.1281947097092826,"[0.48, 0.52]",1.1547228967333996
1,18,-0.0788881058516877,"[0.48, 0.52]",1.0758347908817119
1,19,-0.09948166977950568,"[0.48, 0.52]",0.9763531211022062
1,20,0.14737594692608924,"[0.48, 0.52]",1.1237290680282954
1,21,0.1286977976881032,"[0.48, 0.52]",1.2524268657163986
1,22,0.2108169566235083,"[0.48, 0.52]",1.463243822339907
1,23,0.40048337177376325,"[0.48, 0.52]",1.8637271941136702
1,24,-0.013817533924699754,"[0.48, 0.52]",1.8499096601889704
1,25,-0.33003855366804946,"[0.48, 0.52]",1.519871106520921
1,26,-0.0575720184240176,"[0.48, 0.52]",1.4622990880969033
1,27,0.11216488157497762,"[0.48, 0.52]",1.574463969671881
1,28,0.12439616385838659,"[0.48, 0.52]",1.6988601335302675
1,29,-0.21211798018847894,"[0.48, 0.52]",1.4867421533417886
1,30,-0.13525665403967868,"[0.48, 0.52]",1.35148549930211
1,31,-0.1450649852563446,"[0.48, 0.52]",1.2064205140457653
1,32,0.018561003118922725,"[0.48, 0.52]",1.224981517164688
1,33,0.2898862086381393,"[0.48, 0.52]",1.5148677258028274
1,34,0.41465324678308146,"[0.48, 0.52]",1.9295209725859088
1,35,-0.04551890190885399,"[0.48, 0.52]",1.8840020706770548
1,36,-0.08680775458318224,"[0.48, 0.52]",1.7971943160938726
1,37,-0.1687681425365326,"[0.48, 0.52]",1.62842617355734
1,38,-0.07099173120428492,"[0.48, 0.52]",1.557434442353055
1,39,0.06278994618387101,"[0.48, 0.52]",1.620224388536926
1,40,-0.1412754607616311,"[0.48, 0.52]",1.478948927775295
